127.0.0.1 - - [21/Dec/2017:15:32:53 +0800] "GET /NiceShop/gwc/jsp HTTP/1.1" 404 1086
127.0.0.1 - - [21/Dec/2017:15:32:54 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5170
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/css/style.css HTTP/1.1" 200 12731
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/images/item1%20(1).JPG HTTP/1.1" 200 16686
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/images/item1%20(2).JPG HTTP/1.1" 200 15325
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/images/item1%20(3).JPG HTTP/1.1" 200 16616
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/images/bg.jpg HTTP/1.1" 200 14152
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/images/close1.png HTTP/1.1" 200 2909
127.0.0.1 - - [21/Dec/2017:15:32:59 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5170
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/images/item1%20(1).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/images/item1%20(2).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/images/close1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/images/item1%20(3).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:35:18 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [21/Dec/2017:15:35:19 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5170
127.0.0.1 - - [21/Dec/2017:15:35:19 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:35:19 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:35:19 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [21/Dec/2017:15:35:19 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5170
127.0.0.1 - - [21/Dec/2017:15:35:19 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
